Prix,Année,Boite,Carburant,secteur,kilometrage,marque,model,nbr de portes,origine,premiére main,puissance fiscale,état,km_min,km_max,km_moyen,km_binned
250000.0,2013,Automatique,Diesel,"Ain Sebaa, Casablanca",90 000 - 94 999,JAGUAR,Xf,5.0,WW au Maroc,Non,9.0,Très bon,90000,94999,92499.5,50k-100k
210000.0,2011,Automatique,Essence,"Centre Ville, Casablanca",140 000 - 149 999,PORSCHE,Cayenne,5.0,WW au Maroc,Non,28.0,Excellent,140000,149999,144999.5,100k-150k
390000.0,2018,Automatique,Diesel,"Mania, Settat",120 000 - 129 999,VOLKSWAGEN,Tiguan,5.0,Dédouanée,Oui,8.0,Excellent,120000,129999,124999.5,100k-150k
205000.0,2018,Automatique,Diesel,"Anfa, Casablanca",140 000 - 149 999,VOLKSWAGEN,Tiguan,5.0,WW au Maroc,Oui,8.0,Excellent,140000,149999,144999.5,100k-150k
480000.0,2022,Automatique,Diesel,"Anfa, Casablanca",25 000 - 29 999,AUDI,Q2,5.0,WW au Maroc,Oui,8.0,Excellent,25000,29999,27499.5,0-50k
213000.0,2014,Manuelle,Diesel,"Habous, Casablanca",160 000 - 169 999,MERCEDES-BENZ,Classe C,5.0,WW au Maroc,Non,9.0,Très bon,160000,169999,164999.5,150k-200k
215000.0,2017,Automatique,Diesel,"Hassan, Rabat",140 000 - 149 999,HYUNDAI,Santa Fe,5.0,WW au Maroc,Non,8.0,Excellent,140000,149999,144999.5,100k-150k
270000.0,2018,Automatique,Diesel,"Centre Ville, Mohammedia",80 000 - 84 999,JAGUAR,Xf,5.0,WW au Maroc,Oui,8.0,Excellent,80000,84999,82499.5,50k-100k
439000.0,2016,Automatique,Diesel,"Centre Ville, Casablanca",120 000 - 129 999,BMW,Série 7,5.0,Importée neuve,Non,12.0,Excellent,120000,129999,124999.5,100k-150k
385000.0,2023,Automatique,Diesel,"Agdal, Rabat",5 000 - 9 999,HYUNDAI,Tucson,5.0,WW au Maroc,Oui,6.0,Neuf,5000,9999,7499.5,0-50k
205000.0,2014,Automatique,Diesel,"Racine, Casablanca",120 000 - 129 999,AUDI,A4,5.0,WW au Maroc,Oui,8.0,Excellent,120000,129999,124999.5,100k-150k
350000.0,2011,Automatique,Essence,"Hay Riad, Rabat",130 000 - 139 999,CADILLAC,Escalade,5.0,Importée neuve,Non,8.0,Bon,130000,139999,134999.5,100k-150k
235000.0,2021,Automatique,Diesel,"Bourgogne, Casablanca",40 000 - 44 999,FORD,Kuga,5.0,WW au Maroc,Oui,7.0,Excellent,40000,44999,42499.5,0-50k
